Date,XAU BGNL Curncy,ECSURPUS Index,BDIY Index,CRY Index,DXY Curncy,JPY Curncy,GBP Curncy,Cl1 Comdty,VIX Index,USGG30YR Index,GT10 Govt,USGG2YR Index,USGG3M Index,US0001M Index,GTDEM30Y Govt,GTDEM10Y Govt,GTDEM2Y Govt,EONIA Index,GTITL30YR Corp,GTITL10YR Corp,GTITL2YR Corp,GTJPY30YR Corp,GTJPY10YR Corp,GTJPY2YR Corp,GTGBP30Y Govt,GTGBP20Y Govt,GTGBP2Y Govt,LUMSTRUU Index,LMBITR Index,LUACTRUU Index,LF98TRUU Index,LG30TRUU Index,LP01TREU Index,EMUSTRUU Index,LF94TRUU Index,MXUS Index,MXEU Index,MXJP Index,MXBR Index,MXRU Index,MXIN Index,MXCN Index,MXWO Index,MXWD Index,LEGATRUU Index,HFRXGL Index,RX1 Comdty,TY1 Comdty,GC1 Comdty,CO1 Comdty,ES1 Index,VG1 Index,NQ1 Index,LLL1 Index,TP1 Index,DU1 Comdty,TU2 Comdty
1999-04-27,282.25,,995.0,134.65,100.63,120.44,1.617,17.81,23.36,5.538,5.205,4.998,4.476,4.903,4.835,3.854,2.675,2.93,,,,,1.435,0.143,4.533,4.649,5.042,874.9,491.102,1021.51,555.39,295.21,113.298,207.964,,1332.91,111.67,871.64,596.7,110.54,119.39,33.4,1252.1,299.05,218.647,,115.76,115.563,282.3,15.8,1376.5,3726.0,,,1347.5,105.69,104.898
1999-05-04,285.55,,1095.0,139.04,100.68,120.77,1.626,18.92,25.62,5.713,5.405,5.088,4.6,4.903,4.925,3.942,2.725,2.53,,,,,1.439,0.149,4.655,4.762,5.144,873.01,490.824,1012.45,557.86,297.941,116.997,210.785,120.006,1300.51,111.77,859.79,635.9,123.99,130.11,33.99,1232.99,295.25,217.424,658.0,115.11,114.313,286.9,16.93,1343.0,3740.0,,,1328.5,105.58,104.664
1999-05-11,278.25,,1121.0,136.78,100.24,121.07,1.621,18.06,25.62,5.835,5.578,5.173,4.579,4.901,5.035,4.057,2.702,2.51,,,,,1.353,0.13,4.719,4.83,5.049,871.5,489.058,1005.23,554.77,297.327,135.0,210.305,120.006,1323.8,109.24,869.15,706.79,129.03,144.99,35.22,1239.79,297.31,217.676,658.0,114.6,113.344,278.8,15.96,1358.25,3690.0,,,1343.5,105.67,104.406
1999-05-18,273.95,,1061.0,133.9,100.72,123.21,1.621,17.11,27.26,5.89,5.661,5.345,4.652,4.914,5.082,4.112,2.729,2.51,,,,,1.28,0.075,4.779,4.896,5.139,868.45,487.495,1002.54,553.05,293.601,113.908,206.449,120.006,1303.06,106.83,845.26,699.12,136.34,150.73,34.78,1212.2,290.72,216.441,658.0,114.24,112.344,274.2,15.14,1341.25,3595.0,,,1323.5,105.6,104.141
1999-05-25,271.45,,1017.0,132.09,101.38,122.85,1.602,17.14,28.9,5.748,5.473,5.261,4.642,4.921,5.021,4.033,2.7,2.61,,,,,1.322,0.074,4.699,4.808,4.994,871.29,488.088,1011.6,551.88,290.145,111.377,201.908,120.006,1255.55,107.29,831.5,586.78,129.18,150.01,33.6,1185.38,283.84,216.754,658.0,114.79,113.125,270.8,15.43,1284.5,3631.0,,,1307.0,105.68,104.289
1999-06-01,267.15,,975.0,130.73,102.07,120.45,1.612,16.34,26.62,5.924,5.758,5.523,4.658,4.944,5.198,4.218,2.875,2.51,,,,,1.625,0.137,4.833,4.951,5.218,864.65,487.982,993.71,548.8,289.413,114.954,201.385,121.912,1263.53,107.17,841.1,609.32,126.18,144.53,34.39,1186.63,284.21,213.814,649.58,113.15,111.219,268.2,14.55,1295.5,3611.0,,,1325.0,105.27,103.836
1999-06-08,261.65,,1014.0,136.13,101.76,119.25,1.605,17.66,24.02,5.994,5.824,5.558,4.613,4.951,5.203,4.235,2.891,2.54,,,,,1.594,0.113,4.788,4.913,5.251,863.57,486.15,992.16,547.83,290.708,112.238,204.091,121.912,1288.04,110.57,855.04,603.14,137.43,150.71,34.37,1214.13,291.17,213.557,649.58,112.77,111.313,262.8,15.84,1321.25,3727.0,,,1339.0,105.3,103.781
1999-06-15,259.75,,1014.0,137.43,102.21,120.7,1.591,18.55,25.91,6.111,5.977,5.638,4.725,5.0,5.271,4.288,3.008,2.55,,,,,1.593,0.173,4.793,4.919,5.171,857.11,481.607,984.94,546.54,290.238,111.8,204.093,121.912,1270.24,110.47,887.33,609.65,140.03,144.09,38.54,1209.11,289.86,212.387,649.58,111.68,110.656,260.1,16.46,1305.0,3742.0,,,1385.0,104.95,103.617
1999-06-22,258.55,,955.0,136.27,103.0,121.85,1.589,17.61,21.7,6.057,5.923,5.632,4.738,5.041,5.322,4.38,3.086,2.6,,,,,1.685,0.23,4.788,4.924,5.321,861.16,482.228,987.76,547.8,293.03,112.487,208.024,121.912,1304.26,113.11,908.91,647.5,152.38,156.01,43.46,1234.34,296.63,211.331,649.58,111.01,110.156,259.4,16.1,1349.25,3880.0,2242.5,,1424.0,104.77,103.656
1999-06-29,261.25,,976.0,137.13,103.05,120.96,1.576,18.44,22.51,6.068,5.926,5.679,4.821,5.21,5.395,4.513,3.174,2.58,,,,,1.827,0.33,4.729,4.871,5.393,860.04,479.802,989.94,548.35,292.147,112.301,206.333,121.912,1319.99,110.42,906.78,619.02,148.4,153.94,47.9,1234.29,296.36,211.107,649.58,110.28,110.281,262.0,16.79,1356.75,3799.0,2294.0,,1426.0,104.61,103.648
